reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,5,2.471345
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,4,1.026033
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,6,0.824552
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,2,1.616886
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,3,0.914117
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,4,0.8863
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,4,0.926173
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,1.274769
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,5,1.102288
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,4,0.74456
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,1.06182
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,1,1.189418
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,3,1.706769
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,5,0.883592
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,5,1.636329
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,2,1.144676
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,3,1.020637
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,4,0.908011
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,2,1.859141
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,2,0.838338
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,3,1.096253
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,1,1.23121
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,1,1.505189
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,2,1.380261
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,4,1.618806
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,2,1.458821
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,4,1.02032
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,3,1.434167
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,2,1.291124
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,6,1.812536
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,6,0.529453
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,6,1.089609
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,6,0.755322
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,4,1.433877
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,3,1.622117
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,1.177361
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,5,2.926881
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,3,1.890241
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,5,1.739719
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,5,1.154543
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,4,2.291126
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,4,1.859999
img/i08.bmp,img/c100/i08_8_11zon.bmp,0,0,1.326617
img/i06.bmp,img/c100/i06_6_11zon.bmp,0,0,0.499217
img/i09.bmp,img/c30/i09_9_11zon.bmp,0,4,1.578363
img/i10.bmp,img/c50/i10_10_11zon.bmp,0,5,3.717989
img/i05.bmp,img/c10/i05_5_11zon.bmp,0,5,1.62202
img/i08.bmp,img/c20/i08_8_11zon.bmp,0,5,0.815898
img/i01.bmp,img/c80/i01_1_11zon.bmp,0,4,1.503034
img/i09.bmp,img/c80/i09_9_11zon.bmp,0,4,1.527352
img/i05.bmp,img/c100/i05_5_11zon.bmp,0,0,1.180213
img/i02.bmp,img/c50/i02_2_11zon.bmp,0,6,1.150495
img/i01.bmp,img/c20/i01_1_11zon.bmp,0,5,5.70914
img/i02.bmp,img/c60/i02_2_11zon.bmp,0,5,1.63448
img/i09.bmp,img/c70/i09_9_11zon.bmp,0,5,1.530368
img/i06.bmp,img/c10/i06_6_11zon.bmp,0,4,1.662209
img/i08.bmp,img/c60/i08_8_11zon.bmp,0,5,1.364274
img/i03.bmp,img/c30/i03_3_11zon.bmp,0,5,0.82396
img/i09.bmp,img/c60/i09_9_11zon.bmp,0,5,1.442093
img/i01.bmp,img/c40/i01_1_11zon.bmp,0,6,1.544865
img/i10.bmp,img/c70/i10_10_11zon.bmp,0,4,1.601619
img/i07.bmp,img/c100/i07_7_11zon.bmp,0,0,1.133912
img/i08.bmp,img/c80/i08_8_11zon.bmp,0,4,3.942379
img/i06.bmp,img/c60/i06_6_11zon.bmp,0,4,1.911617
img/i04.bmp,img/c60/i04_4_11zon.bmp,0,4,2.455457
img/i02.bmp,img/c40/i02_2_11zon.bmp,0,6,1.540726
img/i01.bmp,img/c100/i01_1_11zon.bmp,0,0,0.803755
img/i10.bmp,img/c20/i10_10_11zon.bmp,0,5,1.525867
img/i07.bmp,img/c60/i07_7_11zon.bmp,0,4,1.77036
img/i10.bmp,img/c40/i10_10_11zon.bmp,0,5,1.131077
img/i08.bmp,img/c40/i08_8_11zon.bmp,0,5,1.542606
img/i04.bmp,img/c50/i04_4_11zon.bmp,0,5,0.703291
img/i07.bmp,img/c30/i07_7_11zon.bmp,0,5,1.272403
img/i03.bmp,img/c100/i03_3_11zon.bmp,0,0,1.374644
img/i02.bmp,img/c20/i02_2_11zon.bmp,0,6,0.988205
img/i09.bmp,img/c50/i09_9_11zon.bmp,0,5,1.44799
img/i10.bmp,img/c30/i10_10_11zon.bmp,0,6,1.099547
img/i03.bmp,img/c80/i03_3_11zon.bmp,0,5,0.806631
img/i06.bmp,img/c20/i06_6_11zon.bmp,0,5,2.751091
img/i03.bmp,img/c50/i03_3_11zon.bmp,0,5,0.951476
img/i01.bmp,img/c10/i01_1_11zon.bmp,0,5,0.794043
img/i10.bmp,img/c90/i10_10_11zon.bmp,0,2,2.788706
img/i05.bmp,img/c60/i05_5_11zon.bmp,0,3,3.346244
img/i10.bmp,img/c100/i10_10_11zon.bmp,0,0,1.858324
img/i09.bmp,img/c90/i09_9_11zon.bmp,0,1,1.279638
img/i06.bmp,img/c50/i06_6_11zon.bmp,0,1,0.909236
img/i06.bmp,img/c30/i06_6_11zon.bmp,0,2,1.326389
img/i07.bmp,img/c90/i07_7_11zon.bmp,0,1,1.149855
img/i08.bmp,img/c50/i08_8_11zon.bmp,0,4,1.777936
img/i03.bmp,img/c70/i03_3_11zon.bmp,0,4,0.979411
img/i04.bmp,img/c40/i04_4_11zon.bmp,0,5,1.09777
img/i08.bmp,img/c90/i08_8_11zon.bmp,0,1,2.59745
img/i06.bmp,img/c70/i06_6_11zon.bmp,0,1,1.316529
img/i06.bmp,img/c90/i06_6_11zon.bmp,0,1,0.817002
img/i07.bmp,img/c20/i07_7_11zon.bmp,0,4,2.51028
img/i03.bmp,img/c60/i03_3_11zon.bmp,0,4,0.919448
img/i01.bmp,img/c70/i01_1_11zon.bmp,0,5,1.037421
img/i10.bmp,img/c60/i10_10_11zon.bmp,0,5,16.905971
img/i02.bmp,img/c30/i02_2_11zon.bmp,0,6,0.938355
img/i07.bmp,img/c10/i07_7_11zon.bmp,0,4,1.022786
